Category,Product Code,Product Description,Sale Price,y/n
VISWAS FROZEN SNACKS,VSBAN,VIS BANANA ROAST 454G X12,34.99,
VISWAS FROZEN SNACKS,VSBANF-M,VIS BANANA FRY 350G X12,23.99,
VISWAS FROZEN SNACKS,VSBANFRY908,VIS BANANA FRY FAMILY 908G X12,58.99,
VISWAS FROZEN SNACKS,VSCUTL,VIS CUTLET VEG 350GX 12 @2.20,26.49,
VISWAS FROZEN SNACKS,VSEL,VIS ELAYADA JACKFRUIT 350G X12,23.99,
VISWAS FROZEN SNACKS,VSELAYJAG,VIS ELAYADA JAGGERY 350G X12,23.99,
VISWAS FROZEN SNACKS,VSHALWAR,VIS HALWA RED 400G X 14,33.46,
VISWAS FROZEN SNACKS,VSJAL,VIS JILEBI 227G X12 @1.99,23.88,
VISWAS FROZEN SNACKS,VSKOZ,VIS KOZHUKKATTA 350G X12,23.88,
VISWAS FROZEN SNACKS,VSKUM,VIS KUMBILAPPAM JACKFRUIT 350g x12,23.88,
VISWAS FROZEN SNACKS,VSKUMBILFA,VIS KUMBILAPPAM JACKFRUIT FAMILY 908 X 12,56.28,
VISWAS FROZEN SNACKS,VSLAD-M,VIS LADDU 350G X12,26.49,
VISWAS FROZEN SNACKS,VSNEY,VIS NEYYAPPAM 350G X12,23.88,
VISWAS FROZEN SNACKS,VSNEYYAP,VIS NEYYAPPAM FAMILY 908G X12,53.88,
VISWAS FROZEN SNACKS,VSPALLA,VIS PALAPAM 250G X10,16.99,
VISWAS FROZEN SNACKS,VSPAR,VIS PARIPPUVADA 350G X12,23.88,
VISWAS FROZEN SNACKS,VSPARIPF12,VIS PARIPPUVADA FAMILY 908G X 12,53.99,
VISWAS FROZEN SNACKS,VSPUTKADW,VIS PUTTU N KADALA CURRY 454 X 10,24.9,
VISWAS FROZEN SNACKS,VSSU,VIS SUKHIYAN 350G X12,23.88,
VISWAS FROZEN SNACKS,VSULLIVADA,VIS ONION VADA 350G X12,23.88,
VISWAS FROZEN SNACKS,VSUNN,VIS UNNIYAPPAM 350G X12,23.88,
VISWAS FROZEN SNACKS,VSUNNIY,VIS UNNIYAPPAM FAMILY 908G X12,53.88,
VISWAS FROZEN SNACKS,VSUZ,VIS UZHUNNUVADA 350G X12,24.99,
VISWAS FROZEN SNACKS,VSUZHUNNUVADARES,VIS RESTAURANT UZHUNNUVADA 908G X 10,44.99,
VISWAS FROZEN SNACKS,VSVATT,VS VATTAYAPPAM 350GM X 12,27.49,
VISWAS FROZEN BREADS & BREAKFA,VSCAT,VIS CATERING WHEAT POROTHA 908G X16,39.84,
VISWAS FROZEN BREADS & BREAKFA,VSIDI,VIS IDIYAPPAM WHITE 454G X12,23.88,
VISWAS FROZEN BREADS & BREAKFA,VSIDIB,VIS IDIAPPAM BROWN 454G X12,23.88,
VISWAS FROZEN BREADS & BREAKFA,VSIDIYAFAM,VIS IDIYAPPAM FAMILY 908G X12,41.88,
VISWAS FROZEN BREADS & BREAKFA,VSIDL908,VIS IDLI 908GM X 12 (BIG),44.29,
VISWAS FROZEN BREADS & BREAKFA,VSIDLY,VIS IDLY WITH CHUTNY 454G X12,24.96,
VISWAS FROZEN BREADS & BREAKFA,VSKOTHURES,VIS KOTHUPOROTTA RESTAURANT 2KG X 6,35.99,
VISWAS FROZEN BREADS & BREAKFA,VSMAFA16,VIS MALABAR POROTTA (FAMILY) 908X 16,43.99,
VISWAS FROZEN BREADS & BREAKFA,VSMAL-M,VIS MALABAR POROTTA 330G X36,34.99,
VISWAS FROZEN BREADS & BREAKFA,VSMASDOSA,VIS MASALA DOSA 400 X 12,23.88,
VISWAS FROZEN BREADS & BREAKFA,VSPATHI300,VIS PATHIRI 300G X 14,26.99,
VISWAS FROZEN BREADS & BREAKFA,VSPATHIRI,VIS PATHIRI 300G x 12,25.99,
VISWAS FROZEN BREADS & BREAKFA,VSRES-M,VIS CATERING POROTTA 908G X 16,43.99,
VISWAS FROZEN BREADS & BREAKFA,VSRES2KG,VIS RESTARANT.POROTTA 2KG X 8,44.8,
VISWAS FROZEN VEG & RAW ITEMS,VSARVI,VIS ARVI 400GM X 12,22.68,
VISWAS FROZEN VEG & RAW ITEMS,VSAVI-M,VIS AVIYAL MIX 400G X12,23.88,
VISWAS FROZEN VEG & RAW ITEMS,VSBITTE-M,VIS BITTER GOURD CUT 400G X12,22.68,
VISWAS FROZEN VEG & RAW ITEMS,VSCU-M,VIS CUT MANGO GREEN 400G X12,23.88,
VISWAS FROZEN VEG & RAW ITEMS,VSDRUM,VIS DRUMSTICK 400G X12,23.99,
