Product Name,Price, in stock,
Veg and Fruit Box with 6 Class A Eggs,20,yes,
Fruit Box,20,yes,
Family Box,30,yes,
Everest Paneer,2.99,yes,
Double Horse Appam/Idiyappam/Pathiri Podi,2.69,no,remove
Double Horse Chemba Puttu powder - 1kg,2.5,no,remove
Double Horse White Puttu Podi 1kg,2.99,no,remove
Sprouted Jowar Noodles 180g,3.99,no,
Sprouted Amaranth Noodles 180g,3.99,no,
Aashirwad Multi grain Atta 5kg,9.99,yes,
Aashirwad whole wheat 5kg,9.99,yes,
TRS Green Gram 1kg ( Cherupayar  Whole),2.3,yes,
Jalpur Juwar Flour 1 Kg,2.99,no,
Food Factory Red Kidney Beans 2kg,4.89,no,
Shankar UnRoasted Rava 1kg,2.89,yes,
Shankar Roasted Rava 1kg,2.89,yes,
AL Noor Kasthuri Meethi 200g,1.9,no,
Heera Moong Dal Washed 500g,1.6,no,remove
Heera Cashew 700g,8.79,no,remove
TRS Red Peanuts 1.5kg,6.49,yes,
Kabuli Chana 2kg ( Food Factory),3.99,no,
Coconut Milk (Natco) 400ml,1.1,yes,
TRS channa Dal  2kg,4.99,yes,
Aashirwad whole wheat 10kg,14.99,yes,
Shankar Lentil Urad Dal 2kg,5.89,no,
KeralaTaste -  Bananachips - 150g,1.79,no,
Maagi  8 for 2 offer,2,yes,
Maagi  3 for 1 offer,1,yes,
PRINCE - Malabar Muruku  - 150g,2.29,no,
Laila Basmati Rice 10Kg,16.99,yes,
Ajmi Kaima 5kg,15.99,yes,
Shankar Matta Rice 10kg,13.99,yes,
Shankar Idly Rice 10kg,13.99,yes,
Veetee Mega Basmati Rice 10kg,19.99,yes,
Heera Sona Masori 10kg,14,no,
Amaravathi Sona Masoori 10kg,14.99,no,
Godavari Rice Sona Masoori 10 kg,14.99,no,
Shankar Sona Masoori Rice 10kg,14.99,yes,
Dawaat Extra Long 20kg,34.99,yes,
Dawaat Extra Long 10kg,19.98,yes,
Dawaat Extra Long 5kg,9.99,yes,
KTC Sunflower Oil 5Ltr,7.99,yes,
Filippo Berio Xtra VirginOil 500ml,5.99,yes,
Kerala Taste Prawn Pickle 400g,4.49,no,
Priya Cut Mango Pickle 300g,2.39,no,
Priya Mango Pickle 300g,2.39,no,
Heera Whole Jeera 100g,1.79,no,
TRS Chillies Crushed (10x250G),19.41,no,
TRS Cloves Whole (20x50G),29.77,no,
TRS Ginger Powder 100g x 20,19.3,no,
TRS Methi (Fenugreek) Seeds 100g x 20,9.15,no,
TRS Coriander Powder 100g x 20,9.63,no,
TRS Ajwain (Lovage Seeds) (20x100G),14.99,no,
TRS Brown Mustard Seeds 100g x 20,9.27,no,
TRS Jeera (Whole Cumin) 400g x 10,32.36,no,
TRS All Purpose Seasoning (20x100G),12.82,no,
TRS Cinnamon Powder (20x100G),16.82,no,
TRS Chilli Powder (10x400G),21.02,no,
TRS Black Pepper Coarse 100g x 20,31.03,no,
TRS Chilli Powder (Kashmiri) (20x100G),25.89,no,
TRS Dalchini Chinese Whole (Cassia Sticks) (10x200G),24.08,no,
TRS Madras Curry Pwd Mild (20x100G),13.06,no,
TRS Ajwain (Lovage Seeds) 300g (Pack of 10),21.6,no,
TRS Javantry (Mace Spice) 50g (Pack of 10),45.05,no,
TRS Brown Mustard Seeds 400g (Pack of 10),13.58,no,
TRS Dhania (Coriander) Powder Indori – Case of 6 x 1kg,20.45,no,
TRS All Purpose Seasoning (10x400G),17.6,no,
TRS Jeera (Cumin) Whole 6x1kg,42.48,no,
TRS Fennel Seeds (Soonf) 100g (15x100G),15.43,no,
TRS Anardana (Pomegranate) Powder 100g (Pack of 20),26.22,no,
TRS Dalchini Chinese Whole(Cassia Sticks) (6x400G),22,no,
TRS Jeera (Cumin) Powder (10x400G),34.76,no,
TRS Soonf (Whole Fennel Seeds) 400g x 10,26.64,no,
TRS Tandoori Masala (Natural Colour) (10x400G),27.72,no,
TRS Madras Curry Powder Hot (20x100g),13.27,no,
TRS White Poppy Seeds 20x100g,21.56,no,
TRS Cloves Whole (10x250G),61.51,no,
TRS Garlic Powder 400g (Pack of 10),28.31,no,
TRS Chilli Powder (Kashmiri) (10x400gr),36.04,no,
TRS Garam Masala Powder (10x400G),33.46,no,
TRS Spanish Paprika 400g (10x400G),26.86,no,
TRS Whole Nutmeg (Jaifal) 100g (10x100G),30.95,no,
TRS Cardomoms Green (10x200G),115.5,no,
TRS Paprika (Spanish) – Case of 6 x 1kg,35.99,no,
TRS Black Pepper Coarse – 10 x 400g,60.73,no,
TRS Garlic Powder 6x1kg,41.43,no,
TRS Soonf (Fennel Seeds) – Case of 6 x 1kg,40.47,no,
"TRS Whole Cumin Seeds (Jeera) – Indian, 4kg x 3",90.12,no,
TRS Jeera Powder (4x5KG),143.76,no,
Aachi Rasam Powder 100g,2.49,no,
Aachi Chicken Curry Masala 100g,2.49,no,
30 Free Range Eggs,10,yes,
Washed Potato 25kg,17,yes,
30 Class A Caged Eggs,7,yes,
Coriander + Mint,1.89,yes,
Double Horse White Puttu Podi 1kg (2),5.69,yes,
Prince Kerala Murukku - 2,2.29,yes,
Kerala Taste Banana Chips - 3,4.49,yes,
Gongura,3.08,yes,
Drumstick Leaves (Murungai),3.99,yes,
Methi Bunch,1.29,yes,
Mint,1.09,yes,
Coriander,1.09,yes,
Curry Leaves,1.09,yes,
Green Chilli (100g),0.89,yes,
Fresh Coconut,1.49,yes,
Green Lime,0.29,yes,
Garlic (400g),2.89,yes,
Ginger (500g),1.99,yes,
Bombay Onions (1 bag),2.99,yes,
Tomatoes 500gm,1.69,yes,
Ash Banana (450–500g),5.49,yes,
Beetroot (500g),0.89,yes,
Drumsticks (pack of 3),2.29,yes,
Snake Guard (400g),5.49,yes,
Indian Cucumber/Sambar Cucumber (300g),2.99,yes,
Long Dudhi/Bottle Guard (500g),3.79,yes,
Turai/Ridge Guard/Beerakaiya (500g),2.99,yes,
Okra/ Ladies Finger 500gm,3.99,yes,
Yellow Papaya,6.99,yes,
Pomegranate,2.49,yes,
Watermelon Big,5.49,yes,
Guava Green (400g),3.08,yes,
Mango kesar 6s,11.99,yes,
Alphonso Mango 6s,11.99,yes,
Dominican mango,10.99,yes,
,,,
yet to add,,,
Red Onion 5kg,3.99,yes,
TRS Chanadall 2kg,5.49,yes,
TRS Red Lentills 2kg,3.99,yes,
TRS ToorDall Plain 2kg,5.99,yes,
TRS Cashew Kernels 750g,8.99,yes,
TRS Cashew Broken 750g,6.99,yes,
TRS Kashmiri Chilli Whole 150g,2.49,yes,
TRS Cardomom Green 750g,35.49,yes,
TRS Chilli Powder 1kg,6.69,yes,
TRS Garam Masala 1kg,7.99,yes,
TRS Turmeric Powder 1kg,4.99,yes,
TRS Fennel seeds 1kg,6.99,yes,
TRS Papads Madras plain 200,1.99,yes,
Heera Tamarid Sause 1Litre,3.99,yes,
,,,
,,,
,,,
suvai Dosa batter 1kg packet ,2.99,yes,
Suvai Appam batter 1kg packet ,2.99,yes,
Ponnagani keerai bunch ,3.99,yes,
Vallari keerai bunch ,3.99,yes,
Drumstick leaves packet ,3.99,yes,
Red spinach packet ,3.99,yes,
Baby spinach packet ,1.49,yes,
,,,
Apple 4 pieces,1,yes,
Honeydew each ,2.69,yes,
Cantaloupe each ,2.69,yes,
Pineapple each ,2.69,yes,
Mandarin 4 pieces,1,yes,
Banana 5 pieces,1,yes,
Green grapes punnet ,2.49,yes,
Red grapes punnet ,2.49,yes,
Strawberry punnet ,2.99,yes,
Blueberry punnet ,2.49,yes,
Carrots 500g ,0.69,yes,
,,,
Baby leaf each ,1.49,yes,
Cucumber each ,0.79,yes,
White cabbage each ,1.29,yes,
Red cabbage each ,1.29,yes,
Cauliflower each ,1.79,yes,
Savoy cabbage each ,1.69,yes,
Washed potato 2kg ,2,yes,
Parsnips kg,2.99,yes,
Swede ,1.1,yes,
,,,
,,,
Eddoes 500g ,2.99,yes,
Aubergine each ,0.99,yes,
,,,
Peeled garlic kg,4.99,yes,
